"name","post_modified","post_date","byline","alt_text","description","place_name"
"mtsterling1_0_1.jpg","08/20/2014","08/20/2014","Greg Emens","Ethan Johnson, 5, of Mt. Sterling casts a line at the Easy Walker Park pond.",,
"31905ARCHED18.jpg","08/20/2014","08/20/2014","Submitted",,"Mt. Sterling-Montgomery County Airport Fly-In Breakfast and Air Show",
"7160707BM9408 1_1.jpg","08/20/2014","08/20/2014","Brian McCord","Christus Spohn Hospital","CHRISTUS Spohn Hospital Corpus Christi – Shoreline is the largest in the region.","Corpus Christi"
"33708ARCH0002275_0.jpg","08/20/2014","08/20/2014","David Mudd","Downtown Winchester",,"Winchester"
"6720209BM0002A_0.jpg","08/20/2014","08/20/2014","Brian McCord","Columbus' Retirement Community","Residents of Trinity Place Retirement Community in Columbus, Mississippi enjoy a cooking class on February 17, 2009.
JCI PHOTO-BRIAN MCCORD ( left to right - Lillian West, Grace Mann. Maudi Pearson [smiling], Helen Sawyer)
Retirees take advantage of a number of resources to help them stay active, including the YMCA, outdoor parks and trails and retirement communities.",
"67208SUB9148.jpg","08/20/2014","08/20/2014","Submitted",,"Current: Business executives are finding a night out at Magnolia Speedway is a great way to entertain clients.",
"6900807WA0004_1.jpg","08/20/2014","08/20/2014","Staff","Golfing in Wichita",,"Wichita"
"6900608THB9098_1.jpg","08/20/2014","08/20/2014","Todd Bennett","Wichita's Downtown District","The Oeno Wine Bar is located in Old Town, a neighborhood driving downtown’s residential boom.","Wichita"
"7490808BM1891_0_1.jpg","08/20/2014","08/20/2014","Brian McCord","Hickory House Barbecue has grown from a local favorite to a regional draw.",,"Pulaski"
"0903STK7887_0.jpg","08/20/2014","08/20/2014","Greg Emens","Pumpkins","Pumpkin Hill in Mt. Juliet sells a variety of pumpkins to visitors each fall.",
"1250708JWA5060_0_3.jpg","08/20/2014","08/20/2014",,,,"Lexington"
"2070609JWA9240_5.jpg","08/20/2014","08/20/2014","Jeff Adkins",,"The Bourbon marinated pork chops are described as “two grilled pork chops",
"7780510THB0310_2.jpg","08/20/2014","08/20/2014","Todd Bennett","Harvey Gantt Center","A mural hangs alongside the Harvey Gantt Center in downtown Charlotte, NC. The Harvey B. Gantt Center for African-American Arts + Culture (formerly the Afro-American Cultural Center) has celebrated the contributions of Africans and African-Americans to American culture for 35 years and serves as a community epicenter for music, dance, theater, visual art, film, arts education programs, literature and community outreach.","Charlotte"
"1061108jso5349_1.jpg","08/20/2014","08/20/2014","Jeffrey S. Otto",,,"Charlottesville"
"66004ARCHE333_3.jpg","08/20/2014","08/20/2014","Theresa Montgomery","The Paramount Theatre",,"Charlottesville"
"37105ARCHED15A_2.jpg","08/20/2014","08/20/2014",,"Children’s Discovery Museum",,"Bloomington"
"71609ARCH5039_2.jpg","08/20/2014","08/20/2014",,"Quality Health Care in Thomasville, NC","Thomasville, NC offers quality health care to all patients.","Thomasville"
"7810910THB1206_0.jpg","08/20/2014","08/20/2014","Todd Bennett","Avenel Mansion in Bedford, VA","Avenel Mansion in Bedford, VA, has been a Bedford landmark for over 150 years. Built circa 1838 by William M. Burwell and his wife, Frances Steptoe Burwell, Avenel is listed in the National Register of Historic Places and the Virginia Landmarks Register.","Bedford"
"6950710JWA1407.jpg","07/30/2017","08/20/2014","Jeff Adkins","Muskogee Art Guild in Muskogee, OK","Members of the Muskogee Art Guild meet every Thursday to create art and socialize through workshops, art camps, and other activities in Muskogee, OK.","Muskogee"
"7350810THB0169_2.jpg","08/20/2014","08/20/2014","Todd Bennett","Barnet Park in Kinston, NC","Barnet Park in Kinston, NC, is home to an 18-hole disc golf course.","Kinston"
"7810910THB1449_0.jpg","08/20/2014","08/20/2014","Todd Bennett","The Centra Lynchburg Memorial Hospital","The Centra Lynchburg Memorial Hospital in Lynchburg, VA.","Bedford"
"7820810JWA2471_0.jpg","07/27/2017","08/20/2014","Jeff Adkins","San Jose State University","The sun shines on the campus of San Jose State University in San Jose, California. Founded in 1857, it's the oldest university on the west Coast.","San Jose"
